avg_dwell_time,avg_flight_time,error_ratio
0.079380989,0.149248362,0
0.057728132,0.136904107,0
0.060238447,0.146883781,0
0.059783244,0.168395783,0
0.05972451,0.173577392,0
0.061876395,0.190296684,0
0.061420854,0.220397643,0
0.06006074,0.195966601,0
0.05255717,0.208122333,0
0.062635899,0.160414696,0
0.062764628,0.193175622,0
0.064731017,0.229016766,0
0.066542731,0.269570968,0
0.068597078,0.289411643,0
0.067232966,0.373407364,0
0.068284623,0.291658703,0
0.064119458,0.228706969,0
0.063661008,0.212121782,0
0.064221233,0.189571681,0
0.065742914,0.18908699,0
0.066519003,0.194991951,0
0.068944845,0.194900205,0
0.071292019,0.195803692,0
0.07022884,0.264336692,0
0.072699547,0.274167445,0
0.07198732,0.276853502,0
0.068726003,0.243542353,0
0.070058518,0.263312803,0
0.0709885,0.255688316,0
0.068517963,0.27056947,0
0.070094585,0.267067797,0
0.070141792,0.238548126,0
0.066487942,0.337236541,0
0.066109816,0.329984601,0
0.067944797,0.319995228,0
0.068406554,0.22578527,0
0.069023329,0.249764398,0
0.070650637,0.275331752,0
0.073591304,0.353365156,0
0.069841173,0.571651638,0
0.066652854,0.848705673,0
0.064021873,0.503801505,0
0.064030511,0.275237135,0
0.067721185,0.23382574,0
0.067578135,0.16666151,0
0.06793781,0.162998898,0
0.068804079,0.185421073,0
0.066528061,0.198633573,0
0.063979412,0.269074374,0
0.064993779,0.266397079,0
0.070088885,0.214917785,0
0.070447865,0.196805401,0
0.071992848,0.168637358,0
0.071337585,0.179437509,0
0.070608918,0.196100054,0
0.067151206,0.241578567,0
0.064746393,0.252901652,0
0.064665851,0.219046729,0
0.064312251,0.216960614,0
0.064966559,0.208550528,0
0.063816979,0.225708175,0
0.062651157,0.250491129,0
0.061893483,0.312951023,0
0.059209387,0.417161846,0
0.04788518,0,0
0.04788518,0,0
0.04788518,0,0
0.061890602,0.211272955,0
0.06449755,0.352679205,0
0.064841032,0.381987333,0
0.065209289,0.321059664,0
0.064878896,0.300607979,0
0.066808526,0.322146024,0
0.067180528,0.257742749,0
0.066011047,0.236836095,0
0.065823967,0.21968048,0
0.066638549,0.200945833,0
0.064946192,0.182032723,0
0.064370004,0.189411129,0
0.065202965,0.178220553,0
0.065814495,0.187010098,0
0.062531736,0.541011466,0
0.065068852,0.451836413,0
0.065515574,0.153483197,0
0.066872305,0.204214189,0
0.066384196,0.184246483,0
0.068404951,0.184414456,0
0.068335295,0.193265809,0
0.072856869,0.303945133,0
0.072485526,0.284721066,0
0.073274061,0.319489352,0
0.071877678,0.187882662,0
0.071256801,0.226338688,0
0.06936134,0.223288157,0
0.068798661,0.24051187,0
0.067844976,0.233337289,0
0.067258576,0.221956589,0
0.066456584,0.180987339,0
0.065416746,0.19075801,0
0.064144622,0.20346385,0
0.062901556,0.207998514,0
0.061074177,0.274745047,0
0.059737166,0.898731422,0
0.058343172,3.29365921,0
