avg_dwell_time,avg_flight_time,error_ratio
0.075941622,0.174351851,0
0.075143316,0.150399685,0
0.073852665,0.156087132,0
0.073727889,0.16590269,0
0.072606419,0.16572346,0
0.068873413,0.15766666,0
0.068899679,0.16136865,0
0.067427812,0.158908105,0
0.065534279,0.151951998,0
0.064204502,0.160548082,0
0.06695033,0.183073878,0
0.064470874,0.182918345,0
0.066182982,0.198477416,0
0.062958982,0.285318655,0
0.061924368,0.303408766,0
0.057229837,0.414198832,0.08
0.053916799,0.564574242,0.105263158
0.047284842,0.450923959,0.142857143
0.05480895,0.445011497,0.095238095
0.054392835,0.364006281,0.083333333
0.054433844,0.356679678,0
0.053510057,0.42750743,0
0.058757727,0.384179155,0
0.061560512,0.457993507,0
0.069875598,0.308251056,0
0.070577215,0.262346324,0
0.068165582,0.217558471,0
0.066651446,0.207825875,0
0.067094949,0.201682287,0
0.065241916,0.184426363,0
0.058807611,2.264932156,0
0.064056595,0.163284016,0
0.064056595,0.163284016,0
0.062906027,0.403403895,0
0.066686577,0.429637343,0
0.068720375,0.700757674,0.066666667
0.063776016,0.6318048,0.166666667
0.063776016,0.6318048,0.166666667
0.06457918,0.69092553,0.133333333
0.072610283,0.43560346,0.1
0.073006902,0.346393892,0
0.072208278,0.206807445,0
0.069884288,0.218676686,0
0.065338445,0.240727246,0
0.067651438,0.215927081,0
0.06727519,0.242203104,0
0.072114388,0.251965789,0
0.073432777,0.273118152,0
0.074936083,0.320644727,0
0.0703273,0.366286516,0
0.064699605,0.299998432,0
0.063195321,0.251751633,0
0.06327796,0.227203369,0
0.064126053,0.185258121,0
0.066826912,0.187562126,0
0.066339699,0.216380903,0
0.068366039,0.217912222,0
0.068277309,0.265656405,0
0.067649139,0.282937611,0
0.066108465,0.284873979,0
0.06825307,0.316012653,0
0.068048682,0.220287854,0
0.068903577,0.244327156,0
0.069561601,0.240031102,0
0.072160587,0.23138121,0
0.069374885,0.349276117,0
0.064620042,0.462128878,0
0.065356103,0.459240174,0
0.063779145,0.40749523,0
0.063442389,0.295936976,0
0.06313475,0.271762245,0
0.06261766,0.219199311,0
0.063191891,0.170665493,0
0.063893391,0.166642948,0
0.063067296,0.174975514,0
0.062316564,0.384923155,0
0.060001373,0.643533611,0
0.050093412,0,0
0.065068692,0.664289611,0
0.067119533,0.140245056,0
0.064086421,0.192785161,0
0.064353353,0.183327936,0
0.063539657,0.183327936,0
0.061439388,0.304847166,0
0.062961663,0.282493423,0
0.068570162,0.271418611,0
0.07016189,0.191392303,0
0.065041625,0.183817739,0
0.067306833,0.195187216,0
0.06529162,0.186991835,0
0.063350379,0.185339626,0
0.062464627,0.491017199,0
0.070497142,0.516636584,0
0.06751908,0.180470445,0
0.064785997,0.166054977,0
0.063118134,0.162923346,0
0.064213181,0.159996847,0
0.065031594,0.170343152,0
0.067451767,0.169415704,0
0.069894521,0.177229296,0
0.072779968,0.186250385,0
0.06880857,0.30201374,0
0.063144978,0.297001511,0
0.061856887,0.173093978,0
0.061511298,0.166256905,0
0.061660801,0.166447675,0
0.063376895,0.173961843,0
0.062290658,0.2138966,0
0.06584161,0.225003004,0
0.067768415,0.233391692,0
0.069373639,0.298632162,0
0.072706938,0.389222288,0
0.074559617,0.406431066,0
0.064442158,1.23196274,0
0.067109312,0.778101921,0
0.064540958,0.44863126,0
0.065220334,0.292990446,0.090909091
0.063190317,0.270690407,0.066666667
0.062266297,0.282352265,0.054054054
0.060601473,0.274829984,0.066666667
0.060670048,0.287365468,0.0625
0.060007264,0.292512178,0
0.061339771,0.268250185,0
0.06096983,0.258032899,0
0.061369544,0.241026795,0
0.066175086,0.232982254,0
0.068632323,0.21006466,0
0.070963044,0.214447829,0
0.071564282,0.260943651,0
0.072734416,0.313320796,0
0.066659498,0.382978466,0
0.059134007,0.416197717,0
0.060314226,0.522799253,0
0.067259026,0.447236008,0
0.066766315,0.210265249,0
0.064732918,0.297021462,0
0.065687166,0.28514928,0
0.070493392,0.286915027,0
0.069348288,0.212078598,0
0.069348288,0.212078598,0
0.073353052,0.160259485,0
0.067526311,0.154243878,0
0.064848661,0.185827653,0
0.066072186,0.184697474,0
0.067999601,0.185218863,0
0.070104461,0.187274804,0
0.067510022,0.183253015,0
0.069213947,0.18346228,0
0.068455458,0.192265608,0
0.064760053,0.217470603,0
0.068270377,0.237134159,0
0.070081696,0.253388309,0
0.069861432,0.250237075,0
0.065915295,0.344229753,0
0.065825311,0.450795217,0.086956522
0.058687647,0.263467399,0.083333333
0.058245048,0.248645112,0.060606061
0.058795638,0.273802659,0.054054054
0.059672958,0.242684013,0.051282051
0.059723672,0.231958242,0
0.061990478,0.218169156,0
0.063723577,0.218052308,0
0.064624801,0.229542319,0
